,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,32.430000,33.055000,32.380000,32.980000,22.951860,14676800,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-05,32.930000,33.030000,32.660000,32.850000,22.861388,7512000,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-06,32.450000,32.980000,32.360000,32.560000,22.659568,11319600,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-07,32.600000,33.870000,32.560000,33.760000,23.494687,17940200,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-08,33.670000,34.410000,33.510000,34.000000,23.661711,21856500,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-11,34.180000,34.180000,33.740000,33.930000,23.612996,9829000,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-12,33.860000,33.970000,33.430000,33.560000,23.355501,11745000,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-13,33.370000,34.100000,33.220000,33.970000,23.640833,11407200,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-14,33.790000,34.050000,33.640000,33.950000,23.626914,9664800,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-15,33.950000,34.140000,33.620000,33.910000,23.599077,14320000,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
