,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,51.280000,52.270000,50.830000,52.160000,42.930906,3982800,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-05,52.330000,52.690000,51.925000,52.650000,43.334207,2238300,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-06,52.660000,53.530000,52.500000,53.460000,44.000887,3250400,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-07,53.350000,55.360000,53.350000,55.250000,45.474167,4095500,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-08,55.680000,56.120000,55.210000,55.420000,45.614088,3535500,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-11,55.760000,55.850000,54.980000,55.250000,45.474167,2164800,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-12,54.700000,55.380000,54.380000,55.210000,45.441245,2884700,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-13,55.150000,55.640000,55.020000,55.470000,45.655241,1770600,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-14,55.530000,56.120000,55.410000,56.020000,46.107925,1627200,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
2010-01-15,55.980000,56.040000,55.430000,56.030000,46.116156,2935500,0.000000,1.000000,SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",https://www.stryker.com,December,2025-03-31,151062184000,6177000000,53.49,2.307,54.77,3.28,0.0085,7.39,60.89,0.123,0.193,0.0749,0.143,23218000000,15022000000,7.39,-0.176,0.119,421.46,9,13,9,0,1,53.49,29.76,6.51,7.22,7.13,29.41,0.927,404.39,312.11,381.75,374.62,382165000,344266000,5.371,81.038,2025-07-31,2025-06-30
